pop1,type1,pop2,type2,pop3,type3,pop4,type4,Comparison,Correlation,comparison
pacific,marine,joes,lake,pacific,marine,pri,benthic,Parallel Divergent Selection,0.318750738,pacific_joes_pacific_pri
pacific,marine,joes,stream,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.342788512,pacific_joes_pacific_pri
pacific,marine,joes,stream,pacific,marine,pri,benthic,Parallel Divergent Selection,0.378849277,pacific_joes_pacific_pri
pacific,marine,joes,lake,pacific,marine,roberts,stream,Parallel Divergent Selection,0.580555563,pacific_joes_pacific_roberts
pacific,marine,joes,lake,pacific,marine,roberts,lake,Parallel Divergent Selection,0.596837058,pacific_joes_pacific_roberts
pacific,marine,joes,stream,pacific,marine,roberts,stream,Parallel Divergent Selection,0.602096939,pacific_joes_pacific_roberts
pacific,marine,joes,stream,pacific,marine,roberts,lake,Parallel Divergent Selection,0.618211043,pacific_joes_pacific_roberts
pacific,marine,joes,lake,pacific,marine,wc,stream,Parallel Divergent Selection,0.447874199,pacific_joes_pacific_wc
pacific,marine,joes,stream,pacific,marine,wc,stream,Parallel Divergent Selection,0.477217129,pacific_joes_pacific_wc
pacific,marine,lq,limnetic,pacific,marine,misty,stream,Parallel Divergent Selection,0.354781334,pacific_lq_pacific_misty
pacific,marine,lq,limnetic,pacific,marine,misty,lake,Parallel Divergent Selection,0.360217103,pacific_lq_pacific_misty
pacific,marine,lq,benthic,pacific,marine,misty,stream,Parallel Divergent Selection,0.49979366,pacific_lq_pacific_misty
pacific,marine,lq,benthic,pacific,marine,misty,lake,Parallel Divergent Selection,0.508996162,pacific_lq_pacific_misty
pacific,marine,lq,limnetic,pacific,marine,mud,lake,Parallel Divergent Selection,0.341460569,pacific_lq_pacific_mud
pacific,marine,lq,benthic,pacific,marine,mud,lake,Parallel Divergent Selection,0.511827905,pacific_lq_pacific_mud
pacific,marine,lq,limnetic,pacific,marine,pax,benthic,Parallel Divergent Selection,0.54283875,pacific_lq_pacific_pax
pacific,marine,lq,limnetic,pacific,marine,pax,limnetic,Parallel Divergent Selection,0.590107116,pacific_lq_pacific_pax
pacific,marine,lq,benthic,pacific,marine,pax,limnetic,Parallel Divergent Selection,0.627651604,pacific_lq_pacific_pax
pacific,marine,lq,benthic,pacific,marine,pax,benthic,Parallel Divergent Selection,0.758416019,pacific_lq_pacific_pax
pacific,marine,lq,limnetic,pacific,marine,pcr,lake,Parallel Divergent Selection,0.322990134,pacific_lq_pacific_pcr
pacific,marine,lq,benthic,pacific,marine,pcr,lake,Parallel Divergent Selection,0.449835377,pacific_lq_pacific_pcr
pacific,marine,lq,limnetic,pacific,marine,pri,benthic,Parallel Divergent Selection,0.571929417,pacific_lq_pacific_pri
pacific,marine,lq,limnetic,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.598233837,pacific_lq_pacific_pri
pacific,marine,lq,benthic,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.673546697,pacific_lq_pacific_pri
pacific,marine,lq,benthic,pacific,marine,pri,benthic,Parallel Divergent Selection,0.78519984,pacific_lq_pacific_pri
pacific,marine,lq,limnetic,pacific,marine,roberts,lake,Parallel Divergent Selection,0.307889397,pacific_lq_pacific_roberts
pacific,marine,lq,limnetic,pacific,marine,roberts,stream,Parallel Divergent Selection,0.31612959,pacific_lq_pacific_roberts
pacific,marine,lq,benthic,pacific,marine,roberts,lake,Parallel Divergent Selection,0.434496465,pacific_lq_pacific_roberts
pacific,marine,lq,benthic,pacific,marine,roberts,stream,Parallel Divergent Selection,0.443881274,pacific_lq_pacific_roberts
pacific,marine,lq,limnetic,pacific,marine,wc,stream,Parallel Divergent Selection,0.249894495,pacific_lq_pacific_wc
pacific,marine,lq,benthic,pacific,marine,wc,stream,Parallel Divergent Selection,0.343102612,pacific_lq_pacific_wc
pacific,marine,misty,stream,pacific,marine,mud,lake,Parallel Divergent Selection,0.554770071,pacific_misty_pacific_mud
pacific,marine,misty,lake,pacific,marine,mud,lake,Parallel Divergent Selection,0.556585211,pacific_misty_pacific_mud
